station,city,datetime,predicted_aqi
8,3,2026-01-01 06:00:00,463.90627985981615
8,3,2026-01-01 07:00:00,463.90627985981615
8,3,2026-01-01 08:00:00,463.90627985981615
8,3,2026-01-01 09:00:00,463.90627985981615
8,3,2026-01-01 10:00:00,460.37453409715897
8,3,2026-01-01 11:00:00,460.37453409715897
8,3,2026-01-01 12:00:00,460.37453409715897
8,3,2026-01-01 13:00:00,460.982118684289
8,3,2026-01-01 14:00:00,460.982118684289
8,3,2026-01-01 15:00:00,460.982118684289
8,3,2026-01-01 16:00:00,461.8660969352048
8,3,2026-01-01 17:00:00,461.8660969352048
8,3,2026-01-01 18:00:00,461.8660969352048
8,3,2026-01-01 19:00:00,461.8660969352048
8,3,2026-01-01 20:00:00,461.8660969352048
8,3,2026-01-01 21:00:00,461.6269969352047
8,3,2026-01-01 22:00:00,461.6269969352047
8,3,2026-01-01 23:00:00,461.6269969352047
9,3,2026-01-01 00:00:00,480.52818234921034
9,3,2026-01-01 01:00:00,480.52818234921034
9,3,2026-01-01 02:00:00,480.52818234921034
9,3,2026-01-01 03:00:00,480.52818234921034
9,3,2026-01-01 04:00:00,480.52818234921034
9,3,2026-01-01 05:00:00,480.52818234921034
9,3,2026-01-01 06:00:00,480.52818234921034
9,3,2026-01-01 07:00:00,480.52818234921034
9,3,2026-01-01 08:00:00,480.52818234921034
9,3,2026-01-01 09:00:00,480.52818234921034
9,3,2026-01-01 10:00:00,461.25937023797354
9,3,2026-01-01 11:00:00,461.25937023797354
9,3,2026-01-01 12:00:00,461.25937023797354
9,3,2026-01-01 13:00:00,461.25937023797354
9,3,2026-01-01 14:00:00,461.25937023797354
9,3,2026-01-01 15:00:00,461.25937023797354
9,3,2026-01-01 16:00:00,475.3294027720115
9,3,2026-01-01 17:00:00,475.3294027720115
9,3,2026-01-01 18:00:00,475.3294027720115
9,3,2026-01-01 19:00:00,475.3294027720115
9,3,2026-01-01 20:00:00,475.3294027720115
9,3,2026-01-01 21:00:00,475.36703435095893
9,3,2026-01-01 22:00:00,475.36703435095893
9,3,2026-01-01 23:00:00,475.36703435095893
10,0,2026-01-01 00:00:00,454.4732729058021
10,0,2026-01-01 01:00:00,454.4732729058021
10,0,2026-01-01 02:00:00,454.4732729058021
10,0,2026-01-01 03:00:00,454.4732729058021
10,0,2026-01-01 04:00:00,454.4732729058021
10,0,2026-01-01 05:00:00,454.4732729058021
10,0,2026-01-01 06:00:00,454.4732729058021
10,0,2026-01-01 07:00:00,454.4732729058021
10,0,2026-01-01 08:00:00,454.4732729058021
10,0,2026-01-01 09:00:00,454.4732729058021
10,0,2026-01-01 10:00:00,440.5071196291599
10,0,2026-01-01 11:00:00,440.5071196291599
10,0,2026-01-01 12:00:00,440.5071196291599
10,0,2026-01-01 13:00:00,441.12711962915984
10,0,2026-01-01 14:00:00,441.12711962915984
10,0,2026-01-01 15:00:00,441.12711962915984
10,0,2026-01-01 16:00:00,453.0729682418122
10,0,2026-01-01 17:00:00,453.0729682418122
10,0,2026-01-01 18:00:00,453.0729682418122
10,0,2026-01-01 19:00:00,453.0729682418122
10,0,2026-01-01 20:00:00,453.0729682418122
10,0,2026-01-01 21:00:00,453.1679682418122
10,0,2026-01-01 22:00:00,453.1679682418122
10,0,2026-01-01 23:00:00,453.1679682418122
11,0,2026-01-01 00:00:00,489.2843437499738
11,0,2026-01-01 01:00:00,489.2843437499738
11,0,2026-01-01 02:00:00,489.2843437499738
11,0,2026-01-01 03:00:00,489.2843437499738
11,0,2026-01-01 04:00:00,489.2843437499738
11,0,2026-01-01 05:00:00,489.2843437499738
11,0,2026-01-01 06:00:00,489.2843437499738
11,0,2026-01-01 07:00:00,489.2843437499738
11,0,2026-01-01 08:00:00,489.2843437499738
11,0,2026-01-01 09:00:00,489.2843437499738
11,0,2026-01-01 10:00:00,466.99053446064687
11,0,2026-01-01 11:00:00,466.99053446064687
11,0,2026-01-01 12:00:00,466.99053446064687
11,0,2026-01-01 13:00:00,466.99053446064687
11,0,2026-01-01 14:00:00,466.99053446064687
11,0,2026-01-01 15:00:00,466.99053446064687
11,0,2026-01-01 16:00:00,485.02429518014384
11,0,2026-01-01 17:00:00,485.02429518014384
11,0,2026-01-01 18:00:00,485.02429518014384
11,0,2026-01-01 19:00:00,485.02429518014384
11,0,2026-01-01 20:00:00,485.02429518014384
11,0,2026-01-01 21:00:00,485.02929518014383
11,0,2026-01-01 22:00:00,485.02929518014383
11,0,2026-01-01 23:00:00,485.02929518014383
12,0,2026-01-01 00:00:00,488.5594841430913
12,0,2026-01-01 01:00:00,488.5594841430913
12,0,2026-01-01 02:00:00,488.5594841430913
12,0,2026-01-01 03:00:00,488.5594841430913
12,0,2026-01-01 04:00:00,488.5594841430913
12,0,2026-01-01 05:00:00,488.5594841430913
12,0,2026-01-01 06:00:00,488.5594841430913
12,0,2026-01-01 07:00:00,488.5594841430913
12,0,2026-01-01 08:00:00,488.5594841430913
12,0,2026-01-01 09:00:00,488.5594841430913
12,0,2026-01-01 10:00:00,472.9649555291058
12,0,2026-01-01 11:00:00,472.9649555291058
12,0,2026-01-01 12:00:00,472.9649555291058
12,0,2026-01-01 13:00:00,471.9597301988805
12,0,2026-01-01 14:00:00,471.9597301988805
12,0,2026-01-01 15:00:00,471.9597301988805
12,0,2026-01-01 16:00:00,471.02199138839933
12,0,2026-01-01 17:00:00,471.02199138839933
12,0,2026-01-01 18:00:00,471.02199138839933
12,0,2026-01-01 19:00:00,471.02199138839933
12,0,2026-01-01 20:00:00,471.02199138839933
12,0,2026-01-01 21:00:00,471.01273987324777
12,0,2026-01-01 22:00:00,471.01273987324777
12,0,2026-01-01 23:00:00,471.01273987324777
13,0,2026-01-01 00:00:00,466.79782593379633
13,0,2026-01-01 01:00:00,466.79782593379633
13,0,2026-01-01 02:00:00,466.79782593379633
13,0,2026-01-01 03:00:00,466.79782593379633
13,0,2026-01-01 04:00:00,466.79782593379633
13,0,2026-01-01 05:00:00,466.79782593379633
13,0,2026-01-01 06:00:00,466.79782593379633
13,0,2026-01-01 07:00:00,466.79782593379633
13,0,2026-01-01 08:00:00,466.79782593379633
13,0,2026-01-01 09:00:00,466.79782593379633
13,0,2026-01-01 10:00:00,447.77516969904224
13,0,2026-01-01 11:00:00,447.77516969904224
13,0,2026-01-01 12:00:00,447.77516969904224
13,0,2026-01-01 13:00:00,447.9753620067345
13,0,2026-01-01 14:00:00,447.9753620067345
13,0,2026-01-01 15:00:00,447.9753620067345
13,0,2026-01-01 16:00:00,445.02275331108234
13,0,2026-01-01 17:00:00,445.02275331108234
13,0,2026-01-01 18:00:00,445.2927533110823
13,0,2026-01-01 19:00:00,445.2927533110823
13,0,2026-01-01 20:00:00,445.2927533110823
13,0,2026-01-01 21:00:00,446.04319692633936
13,0,2026-01-01 22:00:00,446.04319692633936
13,0,2026-01-01 23:00:00,446.04319692633936
14,4,2026-01-01 00:00:00,441.6615890162468
14,4,2026-01-01 01:00:00,441.6615890162468
14,4,2026-01-01 02:00:00,441.6615890162468
14,4,2026-01-01 03:00:00,441.6615890162468
14,4,2026-01-01 04:00:00,441.6615890162468
14,4,2026-01-01 05:00:00,441.6615890162468
14,4,2026-01-01 06:00:00,441.6615890162468
14,4,2026-01-01 07:00:00,441.6615890162468
14,4,2026-01-01 08:00:00,441.6615890162468
14,4,2026-01-01 09:00:00,441.6615890162468
14,4,2026-01-01 10:00:00,429.8505993927718
14,4,2026-01-01 11:00:00,429.8505993927718
14,4,2026-01-01 12:00:00,429.8505993927718
14,4,2026-01-01 13:00:00,430.2105993927718
14,4,2026-01-01 14:00:00,430.2105993927718
14,4,2026-01-01 15:00:00,430.2105993927718
14,4,2026-01-01 16:00:00,434.10044201968105
14,4,2026-01-01 17:00:00,434.10044201968105
14,4,2026-01-01 18:00:00,434.10044201968105
14,4,2026-01-01 19:00:00,434.10044201968105
14,4,2026-01-01 20:00:00,434.10044201968105
14,4,2026-01-01 21:00:00,435.5803059085699
14,4,2026-01-01 22:00:00,435.5803059085699
14,4,2026-01-01 23:00:00,435.5803059085699
15,4,2026-01-01 00:00:00,491.58533531959046
15,4,2026-01-01 01:00:00,491.58533531959046
15,4,2026-01-01 02:00:00,491.58533531959046
15,4,2026-01-01 03:00:00,491.58533531959046
15,4,2026-01-01 04:00:00,491.58533531959046
15,4,2026-01-01 05:00:00,491.58533531959046
15,4,2026-01-01 06:00:00,491.58533531959046
15,4,2026-01-01 07:00:00,491.58533531959046
15,4,2026-01-01 08:00:00,491.58533531959046
15,4,2026-01-01 09:00:00,491.58533531959046
15,4,2026-01-01 10:00:00,470.16615594561
15,4,2026-01-01 11:00:00,470.16615594561
15,4,2026-01-01 12:00:00,470.16615594561
15,4,2026-01-01 13:00:00,470.16615594561
15,4,2026-01-01 14:00:00,470.16615594561
15,4,2026-01-01 15:00:00,470.16615594561
15,4,2026-01-01 16:00:00,482.74641112403754
15,4,2026-01-01 17:00:00,482.74641112403754
15,4,2026-01-01 18:00:00,482.74641112403754
15,4,2026-01-01 19:00:00,482.74641112403754
15,4,2026-01-01 20:00:00,482.74641112403754
15,4,2026-01-01 21:00:00,483.261259608886
15,4,2026-01-01 22:00:00,483.261259608886
15,4,2026-01-01 23:00:00,483.261259608886
16,0,2026-01-01 00:00:00,484.65066706373335
16,0,2026-01-01 01:00:00,484.65066706373335
16,0,2026-01-01 02:00:00,484.65066706373335
16,0,2026-01-01 03:00:00,484.65066706373335
16,0,2026-01-01 04:00:00,484.65066706373335
16,0,2026-01-01 05:00:00,484.65066706373335
16,0,2026-01-01 06:00:00,484.65066706373335
16,0,2026-01-01 07:00:00,484.65066706373335
16,0,2026-01-01 08:00:00,484.65066706373335
16,0,2026-01-01 09:00:00,484.65066706373335
16,0,2026-01-01 10:00:00,469.98812915874294
16,0,2026-01-01 11:00:00,469.98812915874294
16,0,2026-01-01 12:00:00,469.98812915874294
16,0,2026-01-01 13:00:00,469.98812915874294
16,0,2026-01-01 14:00:00,469.98812915874294
16,0,2026-01-01 15:00:00,469.98812915874294
16,0,2026-01-01 16:00:00,484.1912732683777
